G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
28	Wed, Mar 5, 2014	REG	@	New Mexico (21)	MWC	L	52	80		11	17	L 2	The Pit/Bob King Court	s/2014-03-05-new-m	air-force	2014
29	Sat, Mar 8, 2014	REG		Boise State	MWC	W	64	61	OT	12	17	W 1	Clune Arena 	s/2014-03-08-air-	air-force	2014
30	Wed, Mar 12, 2014	CTOURN	N	Fresno State	MWC	L	59	61		12	18	L 1	Thomas & Mack Center	s/2014-03-12-air-	air-force	2014
1	Fri, Nov 8, 2013	REG		Coastal Carolina	Big South	W	72	63		1	0	W 1	James A. Rhodes Arena	s/2013-11-08-	akron	2014
2	Tue, Nov 12, 2013	REG	@	Saint Mary's (CA)	WCC	L	63	85		1	1	L 1		s/2013-11-12-saint-mar	akron	2014
3	Sat, Nov 16, 2013	REG	@	Middle Tennessee	CUSA	L	73	80		1	2	L 2	Murphy Athletic Center	s/2013-11-16-middle-tenn	akron	2014
4	Sat, Dec 7, 2013	REG	@	Cleveland State	Horizon	W	73	61		2	2	W 1	Henry J. Goodman Arena	s/2013-12-07-cleveland-	akron	2014
5	Sat, Dec 14, 2013	REG		Bethune-Cookman	MEAC	W	84	56		3	2	W 2	James A. Rhodes Arena	s/2013-12-14-	akron	2014
6	Mon, Dec 16, 2013	REG		Oral Roberts	Southland	W	74	64		4	2	W 3	James A. Rhodes Arena	s/2013-12-16-	akron	2014
7	Wed, Dec 18, 2013	REG		Detroit Mercy	Horizon	W	79	60		5	2	W 4	James A. Rhodes Arena	s/2013-12-18-	akron	2014
8	Sun, Dec 22, 2013	REG	N	Oregon State	Pac-12	W	83	71		6	2	W 5		s/2013-12-22-	akron	2014
9	Mon, Dec 23, 2013	REG	N	Iowa State (14)	Big 12	L	60	83		6	3	L 1	Stan Sheriff Center	s/2013-12-23-	akron	2014
10	Wed, Dec 25, 2013	REG	N	South Carolina	SEC	L	59	69		6	4	L 2	Stan Sheriff Center	s/2013-12-25-	akron	2014
11	Sat, Dec 28, 2013	REG	@	South Carolina	SEC	L	45	78		6	5	L 3	The Colonial Life Arena	s/2013-12-28-south-car	akron	2014
12	Tue, Dec 31, 2013	REG		Coppin State	MEAC	W	77	66		7	5	W 1	James A. Rhodes Arena	s/2013-12-31-	akron	2014
13	Thu, Jan 2, 2014	REG		Marshall	CUSA	W	59	58		8	5	W 2	James A. Rhodes Arena	s/2014-01-02-	akron	2014
14	Wed, Jan 8, 2014	REG	@	Ball State	MAC	W	72	68		9	5	W 3	Worthen Arena	s/2014-01-08-ball-	akron	2014
15	Sun, Jan 12, 2014	REG	@	Ohio	MAC	W	83	80	2OT	10	5	W 4	Convocation Center	s/2014-01-12	akron	2014
16	Wed, Jan 15, 2014	REG		Miami (OH)	MAC	W	59	52		11	5	W 5	James A. Rhodes Arena	s/2014-01-15-	akron	2014
17	Sat, Jan 18, 2014	REG		Toledo	MAC	L	61	75		11	6	L 1	James A. Rhodes Arena	s/2014-01-18-	akron	2014
18	Wed, Jan 22, 2014	REG	@	Eastern Michigan	MAC	W	78	68		12	6	W 1	Convocation Center	s/2014-01-22-eastern-mic	akron	2014
19	Sat, Jan 25, 2014	REG	@	Central Michigan	MAC	W	82	74		13	6	W 2	Rose Arena	s/2014-01-25-central-mic	akron	2014
20	Wed, Jan 29, 2014	REG		Ball State	MAC	W	73	46		14	6	W 3	James A. Rhodes Arena	s/2014-01-29-	akron	2014
21	Sat, Feb 1, 2014	REG	@	Kent State	MAC	L	57	60		14	7	L 1	Memorial Athletic & Convocation Center	s/2014-02-01-kent-	akron	2014
22	Wed, Feb 5, 2014	REG		Eastern Michigan	MAC	W	52	48		15	7	W 1	James A. Rhodes Arena	s/2014-02-05-	akron	2014
23	Sun, Feb 9, 2014	REG	@	Bowling Green State	MAC	W	65	63		16	7	W 2	Stroh Center	s/2014-02-09-bowling-green-	akron	2014
24	Wed, Feb 12, 2014	REG	@	Western Michigan	MAC	L	54	57		16	8	L 1	University Arena	s/2014-02-12-western-mic	akron	2014
25	Sat, Feb 15, 2014	REG		Northern Illinois	MAC	W	62	54		17	8	W 1	James A. Rhodes Arena	s/2014-02-15-	akron	2014
26	Wed, Feb 19, 2014	REG	@	Buffalo	MAC	L	90	96		17	9	L 1	Alumni Arena	s/2014-02-19-bu	akron	2014
27	Sat, Feb 22, 2014	REG		Ohio	MAC	L	50	66		17	10	L 2	James A. Rhodes Arena	s/2014-02-22-	akron	2014
28	Wed, Feb 26, 2014	REG	@	Miami (OH)	MAC	L	61	65		17	11	L 3	Millett Hall	s/2014-02-26-mia	akron	2014
29	Sat, Mar 1, 2014	REG		Bowling Green State	MAC	W	57	47		18	11	W 1	James A. Rhodes Arena	s/2014-03-01-	akron	2014
30	Tue, Mar 4, 2014	REG		Buffalo	MAC	W	83	71		19	11	W 2	James A. Rhodes Arena	s/2014-03-04-	akron	2014
31	Fri, Mar 7, 2014	REG		Kent State	MAC	W	58	54		20	11	W 3	James A. Rhodes Arena	s/2014-03-07-	akron	2014
32	Thu, Mar 13, 2014	CTOURN	N	Ohio	MAC	W	83	77		21	11	W 4		s/2014-03-13-	akron	2014
33	Fri, Mar 14, 2014	CTOURN	N	Western Michigan	MAC	L	60	64	OT	21	12	L 1	Quicken Loans Arena	s/2014-03-14-	akron	2014
34	Wed, Mar 19, 2014	CIT	@	IPFW	Summit	L	91	97		21	13	L 2	Allen County War Memorial Coliseum	s/2014-03-19	akron	2014
1	Fri, Nov 8, 2013	REG	N	Oklahoma	Big 12	L	73	82		0	1	L 1	American Airlines Center	s/2013-11-08-al	alabama	2014
2	Thu, Nov 14, 2013	REG		Texas Tech	Big 12	W	76	64		1	1	W 1	Coleman Coliseum 	s/2013-11-14-al	alabama	2014
3	Mon, Nov 18, 2013	REG		Stillman		W	102	65		2	1	W 2	Coleman Coliseum 	s/2013-11-18-al	alabama	2014
4	Tue, Nov 19, 2013	REG		Georgia State	Sun Belt	W	75	58		3	1	W 3	Coleman Coliseum 	s/2013-11-19-al	alabama	2014
5	Wed, Nov 27, 2013	REG	N	Duke (6)	ACC	L	64	74		3	2	L 1	Madison Square Garden (IV)	s/2013-11-27-al	alabama	2014
6	Fri, Nov 29, 2013	REG	N	Drexel	CAA	L	83	85	3OT	3	3	L 2	Madison Square Garden (IV)	s/2013-11-29-al	alabama	2014
7	Wed, Dec 4, 2013	REG		North Florida	A-Sun	W	76	48		4	3	W 1	Coleman Coliseum 	s/2013-12-04-al	alabama	2014
8	Sat, Dec 7, 2013	REG	@	South Florida	AAC	L	64	66		4	4	L 1	Sun Dome	s/2013-12-07-south-fl	alabama	2014
9	Sat, Dec 14, 2013	REG		Charleston Southern	Big South	W	59	45		5	4	W 1	Coleman Coliseum 	s/2013-12-14-al	alabama	2014
10	Tue, Dec 17, 2013	REG		Wichita State (11)	MVC	L	67	72		5	5	L 1	Coleman Coliseum 	s/2013-12-17-al	alabama	2014
11	Sat, Dec 21, 2013	REG		Xavier	Big East	L	74	77		5	6	L 2	Coleman Coliseum 	s/2013-12-21-al	alabama	2014
12	Sat, Dec 28, 2013	REG	@	UCLA	Pac-12	L	67	75		5	7	L 3	Pauley Pavilion	s/2013-12-28	alabama	2014
13	Sat, Jan 4, 2014	REG		Robert Morris	NEC	W	64	56		6	7	W 1	Coleman Coliseum 	s/2014-01-04-al	alabama	2014
14	Tue, Jan 7, 2014	REG		Vanderbilt	SEC	W	68	63		7	7	W 2	Coleman Coliseum 	s/2014-01-07-al	alabama	2014
15	Sat, Jan 11, 2014	REG	@	Georgia	SEC	L	58	66		7	8	L 1	Stegeman Coliseum	s/2014-01-11-ge	alabama	2014
16	Wed, Jan 15, 2014	REG		Mississippi State	SEC	W	80	61		8	8	W 1	Coleman Coliseum 	s/2014-01-15-al	alabama	2014
17	Sat, Jan 18, 2014	REG	@	Missouri	SEC	L	47	68		8	9	L 1	Mizzou Arena	s/2014-01-18-mis	alabama	2014
18	Thu, Jan 23, 2014	REG		Florida (6)	SEC	L	62	68		8	10	L 2	Coleman Coliseum 	s/2014-01-23-al	alabama	2014
19	Sat, Jan 25, 2014	REG		Louisiana State	SEC	W	82	80		9	10	W 1	Coleman Coliseum 	s/2014-01-25-al	alabama	2014
20	Thu, Jan 30, 2014	REG	@	Auburn	SEC	L	55	74		9	11	L 1	Auburn Arena	s/2014-01-30-a	alabama	2014
21	Sat, Feb 1, 2014	REG		Tennessee	SEC	L	59	76		9	12	L 2	Coleman Coliseum 	s/2014-02-01-al	alabama	2014
22	Wed, Feb 5, 2014	REG	@	Arkansas	SEC	L	58	65		9	13	L 3	Bud Walton Arena	s/2014-02-05-ark	alabama	2014
23	Sat, Feb 8, 2014	REG	@	Florida (3)	SEC	L	69	78		9	14	L 4	Stephen C. O'Connell Center	s/2014-02-08-fl	alabama	2014
24	Tue, Feb 11, 2014	REG		Mississippi	SEC	W	67	64		10	14	W 1	Coleman Coliseum 	s/2014-02-11-al	alabama	2014
25	Sat, Feb 15, 2014	REG	@	South Carolina	SEC	L	66	67		10	15	L 1	The Colonial Life Arena	s/2014-02-15-south-car	alabama	2014
26	Thu, Feb 20, 2014	REG	@	Texas A&M	SEC	L	48	63		10	16	L 2	Reed Arena	s/2014-02-20-tex	alabama	2014
27	Sat, Feb 22, 2014	REG		Missouri	SEC	W	80	73		11	16	W 1	Coleman Coliseum 	s/2014-02-22-al	alabama	2014
28	Wed, Feb 26, 2014	REG	@	Mississippi	SEC	L	67	79		11	17	L 1	C.M. Tad Smith Coliseum	s/2014-02-26-missis	alabama	2014
29	Sat, Mar 1, 2014	REG		Auburn	SEC	W	73	57		12	17	W 1	Coleman Coliseum 	s/2014-03-01-al	alabama	2014
30	Tue, Mar 4, 2014	REG	@	Kentucky (25)	SEC	L	48	55		12	18	L 1	Rupp Arena	s/2014-03-04-ken	alabama	2014
31	Sat, Mar 8, 2014	REG		Arkansas	SEC	W	83	58		13	18	W 1	Coleman Coliseum 	s/2014-03-08-al	alabama	2014
32	Thu, Mar 13, 2014	CTOURN	N	Louisiana State	SEC	L	56	68		13	19	L 1	Georgia Dome	s/2014-03-13-al	alabama	2014
1	Sat, Nov 9, 2013	REG	@	New Mexico (23)	MWC	L	52	88		0	1	L 1	The Pit/Bob King Court	s/2013-11-09-new-m	alabama-am	2014
2	Thu, Nov 14, 2013	REG	N	Alabama-Huntsville		W	79	73		1	1	W 1	Elmore Health Science Building 	s/2013-11-14-alaba	alabama-am	2014
3	Sun, Nov 17, 2013	REG	@	Western Michigan	MAC	L	69	73		1	2	L 1	University Arena	s/2013-11-17-western-mic	alabama-am	2014
4	Tue, Nov 19, 2013	REG	@	Eastern Kentucky	OVC	L	68	82		1	3	L 2	McBrayer Arena	s/2013-11-19-eastern-ken	alabama-am	2014
5	Mon, Nov 25, 2013	REG		Jacksonville State	OVC	L	69	76		1	4	L 3	Elmore Health Science Building 	s/2013-11-25-alaba	alabama-am	2014
6	Tue, Dec 3, 2013	REG	@	Tennessee State	OVC	W	66	65		2	4	W 1	Gentry Center Complex	s/2013-12-03-tennessee-	alabama-am	2014
7	Thu, Dec 5, 2013	REG		Oakwood		W	70	58		3	4	W 2	Elmore Health Science Building 	s/2013-12-05-alaba	alabama-am	2014
8	Sat, Dec 14, 2013	REG	@	Ohio	MAC	L	47	72		3	5	L 1	Convocation Center	s/2013-12-14	alabama-am	2014
9	Sat, Dec 21, 2013	REG	@	Missouri State	MVC	L	47	68		3	6	L 2	JQH Arena	s/2013-12-21-missouri-	alabama-am	2014
10	Sun, Dec 29, 2013	REG	@	Alabama-Birmingham	CUSA	L	57	69		3	7	L 3	Bartow Arena	s/2013-12-29-alabama-birmi	alabama-am	2014
11	Sat, Jan 4, 2014	REG	@	Jackson State	SWAC	W	68	61		4	7	W 1	Lee E. Williams Athletics and Assembly Center	s/2014-01-04-jackson-	alabama-am	2014
12	Mon, Jan 6, 2014	REG	@	Grambling	SWAC	W	70	58		5	7	W 2	HPER Complex	s/2014-01-06-gram	alabama-am	2014
13	Sat, Jan 11, 2014	REG		Arkansas-Pine Bluff	SWAC	L	64	72		5	8	L 1	Elmore Health Science Building 	s/2014-01-11-alaba	alabama-am	2014
14	Mon, Jan 13, 2014	REG		Mississippi Valley State	SWAC	W	68	59		6	8	W 1	Elmore Health Science Building 	s/2014-01-13-alaba	alabama-am	2014
15	Sat, Jan 18, 2014	REG	@	Alabama State	SWAC	L	58	67	OT	6	9	L 1	ASU Acadome	s/2014-01-18-alabama-	alabama-am	2014
16	Sat, Jan 25, 2014	REG	@	Southern	SWAC	L	52	66		6	10	L 2	F. G. Clark Activity Center	s/2014-01-25-sou	alabama-am	2014
17	Mon, Jan 27, 2014	REG	@	Alcorn State	SWAC	L	64	70	OT	6	11	L 3	Davey L. Whitney Complex	s/2014-01-27-alcorn-	alabama-am	2014
18	Sat, Feb 1, 2014	REG		Texas Southern	SWAC	W	63	62		7	11	W 1	Elmore Health Science Building 	s/2014-02-01-alaba	alabama-am	2014
19	Mon, Feb 3, 2014	REG		Prairie View	SWAC	W	67	55		8	11	W 2	Elmore Health Science Building 	s/2014-02-03-alaba	alabama-am	2014
20	Sat, Feb 8, 2014	REG	@	Arkansas-Pine Bluff	SWAC	L	61	64		8	12	L 1	K.L. Johnson HPER Complex	s/2014-02-08-arkansas-pine-	alabama-am	2014
21	Mon, Feb 10, 2014	REG	@	Mississippi Valley State	SWAC	W	91	82		9	12	W 1	Harrison HPER Complex	s/2014-02-10-mississippi-valley-	alabama-am	2014
22	Sat, Feb 15, 2014	REG		Alabama State	SWAC	W	68	65	OT	10	12	W 2	Elmore Health Science Building 	s/2014-02-15-alaba	alabama-am	2014
23	Sat, Feb 22, 2014	REG		Southern	SWAC	L	62	70		10	13	L 1	Elmore Health Science Building 	s/2014-02-22-alaba	alabama-am	2014
24	Mon, Feb 24, 2014	REG		Alcorn State	SWAC	L	56	64		10	14	L 2	Elmore Health Science Building 	s/2014-02-24-alaba	alabama-am	2014
25	Sat, Mar 1, 2014	REG	@	Prairie View	SWAC	W	72	65		11	14	W 1	William J. Nicks Building	s/2014-03-01-prairie	alabama-am	2014
26	Mon, Mar 3, 2014	REG	@	Texas Southern	SWAC	L	58	79		11	15	L 1	Health & Physical Education Arena	s/2014-03-03-texas-sou	alabama-am	2014
27	Thu, Mar 6, 2014	REG		Jackson State	SWAC	W	72	59		12	15	W 1	Elmore Health Science Building 	s/2014-03-06-alaba	alabama-am	2014
28	Sat, Mar 8, 2014	REG		Grambling	SWAC	W	80	63		13	15	W 2	Elmore Health Science Building 	s/2014-03-08-alaba	alabama-am	2014
29	Thu, Mar 13, 2014	CTOURN	N	Arkansas-Pine Bluff	SWAC	W	69	50		14	15	W 3		s/2014-03-13-alaba	alabama-am	2014
30	Fri, Mar 14, 2014	CTOURN	N	Prairie View	SWAC	L	49	55		14	16	L 1	Toyota Center	s/2014-03-14-alaba	alabama-am	2014
1	Fri, Nov 8, 2013	REG		Columbus State		W	76	56		1	0	W 1	Bartow Arena	s/2013-11-08-alabama-birmi	alabama-birmingham	2014
2	Mon, Nov 11, 2013	REG		Rutgers	AAC	W	79	76		2	0	W 2	Bartow Arena	s/2013-11-11-alabama-birmi	alabama-birmingham	2014
3	Thu, Nov 14, 2013	REG		Troy	Sun Belt	W	81	69		3	0	W 3	Bartow Arena	s/2013-11-14-alabama-birmi	alabama-birmingham	2014
4	Thu, Nov 21, 2013	REG	N	New Mexico (19)	MWC	L	94	97	2OT	3	1	L 1	Carolina First Arena	s/2013-11-21-alabama-birmi	alabama-birmingham	2014
5	Fri, Nov 22, 2013	REG	N	Nebraska	Big Ten	W	87	74		4	1	W 1		s/2013-11-22-alabama-birmi	alabama-birmingham	2014
6	Sun, Nov 24, 2013	REG	N	Temple	AAC	L	66	87		4	2	L 1	Carolina First Arena	s/2013-11-24-alabama-birmi	alabama-birmingham	2014
7	Wed, Nov 27, 2013	REG		Florida A&M	MEAC	W	85	73		5	2	W 1	Bartow Arena	s/2013-11-27-alabama-birmi	alabama-birmingham	2014
