G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
9	Mon, Dec 22, 2014	7:00 pm/est		REG	@	Western Michigan	MAC	L	62	71		1	8	L 6		western-michigan	alabama-am	2015
10	Tue, Dec 30, 2014	8:00 pm/est		REG	@	Murray State	OVC	L	39	76		1	9	L 7		murray-state	alabama-am	2015
11	Sat, Jan 3, 2015	7:00 pm/est		REG		Jackson State	SWAC	L	67	70		1	10	L 8		jackson-state	alabama-am	2015
12	Mon, Jan 5, 2015	9:00 pm/est		REG		Grambling	SWAC	W	67	46		2	10	W 1		grambling	alabama-am	2015
13	Sat, Jan 10, 2015	5:30 pm/est		REG	@	Mississippi Valley State	SWAC	W	86	73		3	10	W 2		mississippi-valley-state	alabama-am	2015
14	Mon, Jan 12, 2015	9:15 pm/est		REG	@	Arkansas-Pine Bluff	SWAC	W	51	48		4	10	W 3		arkansas-pine-bluff	alabama-am	2015
15	Sat, Jan 17, 2015	7:30 pm/est		REG		Alabama State	SWAC	L	56	59		4	11	L 1		alabama-state	alabama-am	2015
16	Sat, Jan 24, 2015	7:30 pm/est		REG		Southern	SWAC	L	58	65		4	12	L 2		southern	alabama-am	2015
17	Mon, Jan 26, 2015	8:30 pm/est		REG		Alcorn State	SWAC	W	78	66		5	12	W 1		alcorn-state	alabama-am	2015
18	Sat, Jan 31, 2015	6:00 pm/est		REG	@	Prairie View	SWAC	L	63	89		5	13	L 1		prairie-view	alabama-am	2015
19	Mon, Feb 2, 2015	9:00 pm/est	ESPN U	REG	@	Texas Southern	SWAC	L	65	68	OT	5	14	L 2		texas-southern	alabama-am	2015
20	Sat, Feb 7, 2015	7:20 pm/est		REG		Mississippi Valley State	SWAC	W	74	68		6	14	W 1		mississippi-valley-state	alabama-am	2015
21	Mon, Feb 9, 2015	9:00 pm/est		REG		Arkansas-Pine Bluff	SWAC	L	42	56		6	15	L 1		arkansas-pine-bluff	alabama-am	2015
22	Sat, Feb 14, 2015	6:30 pm/est		REG	@	Alabama State	SWAC	W	80	71		7	15	W 1		alabama-state	alabama-am	2015
23	Sat, Feb 21, 2015	6:30 pm/est		REG	@	Southern	SWAC	L	63	72		7	16	L 1		southern	alabama-am	2015
24	Mon, Feb 23, 2015	8:30 pm/est		REG	@	Alcorn State	SWAC	W	73	69		8	16	W 1		alcorn-state	alabama-am	2015
25	Sat, Feb 28, 2015	7:30 pm/est		REG		Prairie View	SWAC	L	72	75		8	17	L 1		prairie-view	alabama-am	2015
26	Mon, Mar 2, 2015	8:55 pm/est		REG		Texas Southern	SWAC	L	75	77		8	18	L 2		texas-southern	alabama-am	2015
27	Thu, Mar 5, 2015	8:30 pm/est		REG	@	Jackson State	SWAC	L	54	72		8	19	L 3		jackson-state	alabama-am	2015
