G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
13	Sun, Jan 4, 2015	4:30 pm/est	CBS	REG		Nevada-Las Vegas	MWC	W	76	61		11	2	W 2		nevada-las-vegas	kansas	2015
14	Wed, Jan 7, 2015	9:00 pm/est	ESPN U	REG	@	Baylor (21)	Big 12	W	56	55		12	2	W 3		baylor	kansas	2015
15	Sat, Jan 10, 2015	3:00 pm/est	ESPN U	REG		Texas Tech	Big 12	W	86	54		13	2	W 4		texas-tech	kansas	2015
16	Tue, Jan 13, 2015	7:00 pm/est	ESPN 2	REG		Oklahoma State (24)	Big 12	W	67	57		14	2	W 5		oklahoma-state	kansas	2015
17	Sat, Jan 17, 2015	9:00 pm/est	ESPN	REG	@	Iowa State (11)	Big 12	L	81	86		14	3	L 1		iowa-state	kansas	2015
18	Mon, Jan 19, 2015	9:00 pm/est	ESPN	REG		Oklahoma (19)	Big 12	W	85	78		15	3	W 1		oklahoma	kansas	2015
19	Sat, Jan 24, 2015	2:00 pm/est	CBS	REG	@	Texas (17)	Big 12	W	75	62		16	3	W 2		texas	kansas	2015
20	Wed, Jan 28, 2015	9:00 pm/est	ESPN U	REG	@	Texas Christian	Big 12	W	64	61		17	3	W 3		texas-christian	kansas	2015
21	Sat, Jan 31, 2015	2:00 pm/est	ESPN	REG		Kansas State	Big 12	W	68	57		18	3	W 4		kansas-state	kansas	2015
22	Mon, Feb 2, 2015	9:00 pm/est	ESPN	REG		Iowa State (11)	Big 12	W	89	76		19	3	W 5		iowa-state	kansas	2015
23	Sat, Feb 7, 2015	2:00 pm/est	ESPN	REG	@	Oklahoma State	Big 12	L	62	67		19	4	L 1		oklahoma-state	kansas	2015
24	Tue, Feb 10, 2015	9:00 pm/est	ESPN 2	REG	@	Texas Tech	Big 12	W	73	51		20	4	W 1		texas-tech	kansas	2015
25	Sat, Feb 14, 2015	1:00 pm/est	CBS	REG		Baylor (16)	Big 12	W	74	64		21	4	W 2		baylor	kansas	2015
26	Mon, Feb 16, 2015	9:00 pm/est	ESPN	REG	@	West Virginia (23)	Big 12	L	61	62		21	5	L 1		west-virginia	kansas	2015
27	Sat, Feb 21, 2015	4:00 pm/est	ESPN 2	REG		Texas Christian	Big 12	W	81	72		22	5	W 1		texas-christian	kansas	2015
28	Mon, Feb 23, 2015	9:00 pm/est	ESPN	REG	@	Kansas State	Big 12	L	63	70		22	6	L 1		kansas-state	kansas	2015
29	Sat, Feb 28, 2015	5:00 pm/est	ESPN	REG		Texas	Big 12	W	69	64		23	6	W 1		texas	kansas	2015
30	Tue, Mar 3, 2015	9:00 pm/est	ESPN 2	REG		West Virginia (20)	Big 12	W	76	69	OT	24	6	W 2		west-virginia	kansas	2015
31	Sat, Mar 7, 2015	4:00 pm/est	ESPN	REG	@	Oklahoma (15)	Big 12	L	73	75		24	7	L 1		oklahoma	kansas	2015
32	Thu, Mar 12, 2015	3:20 pm/est	ESPN 2	CTOURN	N	Texas Christian	Big 12	W	64	59		25	7	W 1		texas-christian	kansas	2015
33	Fri, Mar 13, 2015	7:00 pm/est	ESPN 2	CTOURN	N	Baylor (16)	Big 12	W	62	52		26	7	W 2		baylor	kansas	2015
34	Sat, Mar 14, 2015	6:00 pm/est	ESPN	CTOURN	N	Iowa State (13)	Big 12	L	66	70		26	8	L 1		iowa-state	kansas	2015
35	Fri, Mar 20, 2015	12:15 pm/est	CBS	NCAA	N	New Mexico State	WAC	W	75	56		27	8	W 1		new-mexico-state	kansas	2015
36	Sun, Mar 22, 2015	5:15 pm/est	CBS	NCAA	N	Wichita State (14)	MVC	L	65	78		27	9	L 1		wichita-state	kansas	2015
1	Fri, Nov 14, 2014	9:00 pm/est	FSN-KC	REG		Southern Utah	Big Sky	W	98	68		1	0	W 1		southern-utah	kansas-state	2015
2	Mon, Nov 17, 2014	8:00 pm/est	FSN-MW	REG		Missouri-Kansas City	WAC	W	83	73		2	0	W 2		missouri-kansas-city	kansas-state	2015
3	Fri, Nov 21, 2014	10:30 pm/est	FSN, MASN2	REG	@	Long Beach State	Big West	L	60	69		2	1	L 1		long-beach-state	kansas-state	2015
4	Mon, Nov 24, 2014	2:30 pm/est	ESPN 2	REG	N	Purdue	Big Ten	W	88	79		3	1	W 1		purdue	kansas-state	2015
5	Tue, Nov 25, 2014	7:30 pm/est	ESPN	REG	N	Arizona (3)	Pac-12	L	68	72		3	2	L 1		arizona	kansas-state	2015
6	Wed, Nov 26, 2014	8:10 pm/est	ESPN 2	REG	N	Pittsburgh	ACC	L	47	70		3	3	L 2		pittsburgh	kansas-state	2015
7	Tue, Dec 2, 2014	8:00 pm/est	FSN-KC	REG		Nebraska-Omaha	Summit	W	84	66		4	3	W 1		nebraska-omaha	kansas-state	2015
8	Sat, Dec 6, 2014	3:15 pm/est	ESPN 2	REG	@	Tennessee	SEC	L	64	65		4	4	L 1		tennessee	kansas-state	2015
9	Tue, Dec 9, 2014	8:00 pm/est	ESPN3.com	REG		Bradley	MVC	W	50	47		5	4	W 1		bradley	kansas-state	2015
10	Sun, Dec 14, 2014	6:00 pm/est	FSN-MW	REG		Savannah State	MEAC	W	73	53		6	4	W 2		savannah-state	kansas-state	2015
11	Sat, Dec 20, 2014	7:00 pm/est	ESPN U	REG		Texas A&M	SEC	W	71	64		7	4	W 3		texas-am	kansas-state	2015
12	Sun, Dec 28, 2014	3:00 pm/est	FSN-MW	REG		Texas Southern	SWAC	L	56	58		7	5	L 1		texas-southern	kansas-state	2015
13	Wed, Dec 31, 2014	4:00 pm/est	ESPN U	REG		Georgia	SEC	L	46	50		7	6	L 2		georgia	kansas-state	2015
14	Sat, Jan 3, 2015	12:00 pm/est	ESPN U	REG	@	Oklahoma State	Big 12	L	47	61		7	7	L 3		oklahoma-state	kansas-state	2015
15	Wed, Jan 7, 2015	9:00 pm/est	ESPNews	REG		Texas Christian	Big 12	W	58	53		8	7	W 1		texas-christian	kansas-state	2015
16	Sat, Jan 10, 2015	7:00 pm/est	ESPN U	REG	@	Oklahoma (16)	Big 12	W	66	63	OT	9	7	W 2		oklahoma	kansas-state	2015
17	Wed, Jan 14, 2015	8:00 pm/est	ESPNews	REG		Texas Tech	Big 12	W	58	51		10	7	W 3		texas-tech	kansas-state	2015
18	Sat, Jan 17, 2015	3:00 pm/est	ESPN U	REG		Baylor (22)	Big 12	W	63	61		11	7	W 4		baylor	kansas-state	2015
19	Tue, Jan 20, 2015	7:00 pm/est	ESPN 2	REG	@	Iowa State (9)	Big 12	L	71	77		11	8	L 1		iowa-state	kansas-state	2015
20	Sat, Jan 24, 2015	12:00 pm/est	ESPN 2	REG		Oklahoma State	Big 12	W	63	53		12	8	W 1		oklahoma-state	kansas-state	2015
21	Tue, Jan 27, 2015	7:00 pm/est	ESPN 2	REG		West Virginia (17)	Big 12	L	59	65		12	9	L 1		west-virginia	kansas-state	2015
22	Sat, Jan 31, 2015	2:00 pm/est	ESPN	REG	@	Kansas (9)	Big 12	L	57	68		12	10	L 2		kansas	kansas-state	2015
23	Wed, Feb 4, 2015	9:00 pm/est	ESPN U	REG	@	Texas Tech	Big 12	L	47	64		12	11	L 3		texas-tech	kansas-state	2015
24	Sat, Feb 7, 2015	4:00 pm/est	ESPN	REG		Texas (25)	Big 12	L	57	61		12	12	L 4		texas	kansas-state	2015
25	Wed, Feb 11, 2015	7:00 pm/est	ESPN U	REG	@	West Virginia (21)	Big 12	L	72	76		12	13	L 5		west-virginia	kansas-state	2015
26	Sat, Feb 14, 2015	8:00 pm/est	ESPN 2	REG		Oklahoma (17)	Big 12	W	59	56		13	13	W 1		oklahoma	kansas-state	2015
27	Wed, Feb 18, 2015	8:00 pm/est	FSN-SW	REG	@	Texas Christian	Big 12	L	55	69		13	14	L 1		texas-christian	kansas-state	2015
28	Sat, Feb 21, 2015	1:00 pm/est	ESPN U	REG	@	Baylor (20)	Big 12	L	42	69		13	15	L 2		baylor	kansas-state	2015
29	Mon, Feb 23, 2015	9:00 pm/est	ESPN	REG		Kansas (8)	Big 12	W	70	63		14	15	W 1		kansas	kansas-state	2015
30	Sat, Feb 28, 2015	4:00 pm/est	ESPN 2	REG		Iowa State (12)	Big 12	W	70	69		15	15	W 2		iowa-state	kansas-state	2015
31	Sat, Mar 7, 2015	4:00 pm/est	ESPN 2	REG	@	Texas	Big 12	L	49	62		15	16	L 1		texas	kansas-state	2015
32	Wed, Mar 11, 2015	7:00 pm/est	ESPN U	CTOURN	N	Texas Christian	Big 12	L	65	67		15	17	L 2		texas-christian	kansas-state	2015
1	Fri, Nov 14, 2014	7:00 pm/est	ESPN3.com	REG	@	Syracuse (23)	ACC	L	42	89		0	1	L 1		syracuse	kennesaw-state	2015
2	Sun, Nov 16, 2014	8:00 pm/est	Pac-12 Network	REG	@	University of California	Pac-12	L	59	93		0	2	L 2		california	kennesaw-state	2015
3	Wed, Nov 19, 2014	7:00 pm/est		REG	@	Mercer	Southern	L	66	74		0	3	L 3		mercer	kennesaw-state	2015
4	Fri, Nov 21, 2014	8:00 pm/est		REG	@	North Dakota State	Summit	L	55	68		0	4	L 4		north-dakota-state	kennesaw-state	2015
5	Sat, Nov 22, 2014	5:30 pm/est		REG	N	Alcorn State	SWAC	W	83	80		1	4	W 1		alcorn-state	kennesaw-state	2015
6	Wed, Nov 26, 2014	2:00 pm/est	ESPN3.com	REG		Samford	Southern	W	84	71		2	4	W 2		samford	kennesaw-state	2015
7	Sat, Nov 29, 2014	12:00 pm/est	ESPN3.com	REG		Chattanooga	Southern	W	77	69		3	4	W 3		chattanooga	kennesaw-state	2015
8	Tue, Dec 2, 2014	7:30 pm/est		REG	@	Florida International	CUSA	L	38	59		3	5	L 1		florida-international	kennesaw-state	2015
9	Sat, Dec 6, 2014	12:00 pm/est	ESPN3.com	REG		Kent State	MAC	L	46	58		3	6	L 2		kent-state	kennesaw-state	2015
10	Mon, Dec 8, 2014	7:00 pm/est	FS1	REG	@	Butler (15)	Big East	L	51	93		3	7	L 3		butler	kennesaw-state	2015
11	Wed, Dec 17, 2014	7:00 pm/est	ESPN3.com	REG	@	Youngstown State	Horizon	W	90	84		4	7	W 1		youngstown-state	kennesaw-state	2015
12	Sat, Dec 20, 2014	3:00 pm/est	ESPN3.com	REG		Maryland-Baltimore County	AEC	L	53	66		4	8	L 1		maryland-baltimore-county	kennesaw-state	2015
13	Mon, Dec 22, 2014	3:00 pm/est	ESPN3.com	REG		Elon	CAA	L	65	67		4	9	L 2		elon	kennesaw-state	2015
14	Sat, Dec 27, 2014	9:00 pm/est	Big Ten Network	REG	@	Illinois	Big Ten	L	45	93		4	10	L 3		illinois	kennesaw-state	2015
15	Wed, Dec 31, 2014	3:00 pm/est		REG	@	Tennessee State	OVC	L	62	73		4	11	L 4		tennessee-state	kennesaw-state	2015
16	Sat, Jan 3, 2015	2:00 pm/est	ESPN3.com	REG		Thomas University		W	92	66		5	11	W 1		NA	kennesaw-state	2015
17	Sat, Jan 10, 2015	2:00 pm/est	ESPN3.com	REG	@	South Carolina Upstate	A-Sun	L	65	68		5	12	L 1		south-carolina-upstate	kennesaw-state	2015
18	Wed, Jan 14, 2015	7:00 pm/est	ESPN3.com	REG	@	Northern Kentucky	A-Sun	L	72	76		5	13	L 2		northern-kentucky	kennesaw-state	2015
19	Sat, Jan 17, 2015	2:00 pm/est	ESPN3.com	REG		Lipscomb	A-Sun	L	77	91		5	14	L 3		lipscomb	kennesaw-state	2015
20	Thu, Jan 22, 2015	7:00 pm/est	ESPN3.com	REG		Stetson	A-Sun	W	88	82		6	14	W 1		stetson	kennesaw-state	2015
21	Sat, Jan 24, 2015	2:00 pm/est	ESPN3.com	REG		Florida Gulf Coast	A-Sun	L	48	54		6	15	L 1		florida-gulf-coast	kennesaw-state	2015
22	Thu, Jan 29, 2015	7:00 pm/est	ESPN3.com	REG	@	North Florida	A-Sun	L	67	86		6	16	L 2		north-florida	kennesaw-state	2015
23	Sat, Jan 31, 2015	2:00 pm/est	ESPN3.com	REG	@	Jacksonville	A-Sun	W	51	50		7	16	W 1		jacksonville	kennesaw-state	2015
24	Tue, Feb 3, 2015	7:00 pm/est	ESPN3.com	REG		Paine		W	80	75		8	16	W 2		NA	kennesaw-state	2015
25	Sat, Feb 7, 2015	3:00 pm/est	ESPN3.com	REG		South Carolina Upstate	A-Sun	L	46	74		8	17	L 1		south-carolina-upstate	kennesaw-state	2015
26	Thu, Feb 12, 2015	7:00 pm/est	ESPN3.com	REG		Jacksonville	A-Sun	W	78	65		9	17	W 1		jacksonville	kennesaw-state	2015
27	Sat, Feb 14, 2015	2:00 pm/est	ESPN3.com	REG		North Florida	A-Sun	L	51	67		9	18	L 1		north-florida	kennesaw-state	2015
28	Thu, Feb 19, 2015	7:00 pm/est	ESPN3.com	REG	@	Florida Gulf Coast	A-Sun	L	53	54		9	19	L 2		florida-gulf-coast	kennesaw-state	2015
29	Sat, Feb 21, 2015	1:00 pm/est	ESPN3.com	REG	@	Stetson	A-Sun	W	61	56		10	19	W 1		stetson	kennesaw-state	2015
30	Thu, Feb 26, 2015	12:00 pm/est	ESPN3.com	REG		Northern Kentucky	A-Sun	L	53	78		10	20	L 1		northern-kentucky	kennesaw-state	2015
31	Sat, Feb 28, 2015	11:00 am/est	ESPN3.com	REG	@	Lipscomb	A-Sun	L	75	94		10	21	L 2		lipscomb	kennesaw-state	2015
32	Tue, Mar 3, 2015	7:00 pm/est	ESPN3.com	CTOURN	@	South Carolina Upstate	A-Sun	L	54	90		10	22	L 3		south-carolina-upstate	kennesaw-state	2015
1	Sat, Nov 15, 2014	7:00 pm/est		REG	@	Youngstown State	Horizon	W	69	61		1	0	W 1		youngstown-state	kent-state	2015
2	Tue, Nov 18, 2014	8:00 pm/est		REG		Malone		W	62	52		2	0	W 2		NA	kent-state	2015
3	Fri, Nov 21, 2014	7:30 pm/est		REG		Southern Illinois	MVC	W	74	51		3	0	W 3		southern-illinois	kent-state	2015
4	Sat, Nov 22, 2014	7:30 pm/est		REG	N	Illinois-Chicago	Horizon	W	78	60		4	0	W 4		illinois-chicago	kent-state	2015
5	Sun, Nov 23, 2014	3:30 pm/est		REG		Yale	Ivy	L	59	66		4	1	L 1		yale	kent-state	2015
6	Sat, Nov 29, 2014	7:00 pm/est		REG		Loyola (IL)	MVC	L	61	69		4	2	L 2		loyola-il	kent-state	2015
7	Sat, Dec 6, 2014	12:00 pm/est	ESPN3.com	REG	@	Kennesaw State	A-Sun	W	58	46		5	2	W 1		kennesaw-state	kent-state	2015
8	Sun, Dec 14, 2014	3:00 pm/est		REG	@	Arkansas-Little Rock	Sun Belt	W	60	55	OT	6	2	W 2		arkansas-little-rock	kent-state	2015
9	Fri, Dec 19, 2014	7:00 pm/est		REG		North Carolina A&T	MEAC	W	71	57		7	2	W 3		north-carolina-at	kent-state	2015
10	Sun, Dec 21, 2014	7:00 pm/est		REG	N	North Dakota State	Summit	W	53	52		8	2	W 4		north-dakota-state	kent-state	2015
11	Mon, Dec 22, 2014	9:00 pm/est		REG	N	Texas-El Paso	CUSA	L	75	78		8	3	L 1		texas-el-paso	kent-state	2015
12	Tue, Dec 30, 2014	8:00 pm/est	Jayhawk TV, ESPN3.com	REG	@	Kansas (13)	Big 12	L	62	78		8	4	L 2		kansas	kent-state	2015
13	Fri, Jan 2, 2015	7:00 pm/est		REG		Texas-Rio Grande Valley	WAC	W	74	54		9	4	W 1		texas-pan-american	kent-state	2015
14	Wed, Jan 7, 2015	7:00 pm/est		REG		Bowling Green State	MAC	L	64	66		9	5	L 1		bowling-green-state	kent-state	2015
15	Sat, Jan 10, 2015	8:00 pm/est	ESPN3.com	REG	@	Northern Illinois	MAC	W	67	65		10	5	W 1		northern-illinois	kent-state	2015
16	Wed, Jan 14, 2015	7:00 pm/est		REG		Eastern Michigan	MAC	W	65	59		11	5	W 2		eastern-michigan	kent-state	2015
17	Sat, Jan 17, 2015	7:00 pm/est		REG		Ohio	MAC	W	69	59		12	5	W 3		ohio	kent-state	2015
18	Wed, Jan 21, 2015	7:00 pm/est		REG		Toledo	MAC	W	67	60		13	5	W 4		toledo	kent-state	2015
19	Sat, Jan 24, 2015	2:00 pm/est		REG	@	Ball State	MAC	W	63	52		14	5	W 5		ball-state	kent-state	2015
20	Tue, Jan 27, 2015	7:00 pm/est		REG		Central Michigan	MAC	W	63	53		15	5	W 6		central-michigan	kent-state	2015
21	Fri, Jan 30, 2015	10:00 pm/est	ESPN U	REG	@	Buffalo	MAC	L	55	80		15	6	L 1		buffalo	kent-state	2015
22	Wed, Feb 4, 2015	7:00 pm/est		REG	@	Western Michigan	MAC	L	66	67		15	7	L 2		western-michigan	kent-state	2015
23	Sat, Feb 7, 2015	7:00 pm/est		REG		Miami (OH)	MAC	W	61	60		16	7	W 1		miami-oh	kent-state	2015
24	Tue, Feb 10, 2015	7:00 pm/est	ESPN3.com	REG	@	Akron	MAC	L	52	61		16	8	L 1		akron	kent-state	2015
25	Fri, Feb 13, 2015	6:00 pm/est	ESPN U	REG	@	Toledo	MAC	W	76	75	OT	17	8	W 1		toledo	kent-state	2015
26	Wed, Feb 18, 2015	7:00 pm/est		REG		Ball State	MAC	W	58	53		18	8	W 2		ball-state	kent-state	2015
27	Sat, Feb 21, 2015	2:00 pm/est	ESPN3.com	REG	@	Ohio	MAC	W	64	51		19	8	W 3		ohio	kent-state	2015
28	Tue, Feb 24, 2015	7:00 pm/est		REG	@	Miami (OH)	MAC	L	81	86	OT	19	9	L 1		miami-oh	kent-state	2015
29	Sat, Feb 28, 2015	7:00 pm/est	Time Warner, ESPN3.com	REG		Buffalo	MAC	L	65	71		19	10	L 2		buffalo	kent-state	2015
30	Tue, Mar 3, 2015	7:00 pm/est	TW Sports, ESPN3.com	REG	@	Bowling Green State	MAC	W	81	80		20	10	W 1		bowling-green-state	kent-state	2015
31	Fri, Mar 6, 2015	7:00 pm/est	ESPN 2	REG		Akron	MAC	W	79	77		21	10	W 2		akron	kent-state	2015
32	Thu, Mar 12, 2015	9:00 pm/est	ESPN3.com	CTOURN	N	Akron	MAC	L	51	53		21	11	L 1		akron	kent-state	2015
33	Wed, Mar 18, 2015	7:00 pm/est		CIT	@	Middle Tennessee	CUSA	W	68	56		22	11	W 1		middle-tennessee	kent-state	2015
34	Mon, Mar 23, 2015	8:00 pm/est		CIT	@	Texas A&M-Corpus Christi	Southland	W	69	65		23	11	W 2		texas-am-corpus-christi	kent-state	2015
35	Fri, Mar 27, 2015	10:10 pm/est	SportsTime Ohio	CIT	@	Northern Arizona	Big Sky	L	73	74	OT	23	12	L 1		northern-arizona	kent-state	2015
1	Fri, Nov 14, 2014	8:00 pm/est	SEC Network	REG		Grand Canyon	WAC	W	85	45		1	0	W 1		grand-canyon	kentucky	2015
2	Sun, Nov 16, 2014	12:00 pm/est	ESPN U	REG		Buffalo	MAC	W	71	52		2	0	W 2		buffalo	kentucky	2015
3	Tue, Nov 18, 2014	9:30 pm/est	ESPN	REG	N	Kansas (5)	Big 12	W	72	40		3	0	W 3		kansas	kentucky	2015
4	Fri, Nov 21, 2014	7:00 pm/est	FSN	REG		Boston University	Patriot	W	89	65		4	0	W 4		boston-university	kentucky	2015
5	Sun, Nov 23, 2014	6:00 pm/est	SEC Network	REG		Montana State	Big Sky	W	86	28		5	0	W 5		montana-state	kentucky	2015
6	Tue, Nov 25, 2014	7:00 pm/est	SEC Network	REG		Texas-Arlington	Sun Belt	W	92	44		6	0	W 6		texas-arlington	kentucky	2015
7	Sun, Nov 30, 2014	2:00 pm/est	ESPN 2	REG		Providence	Big East	W	58	38		7	0	W 7		providence	kentucky	2015
8	Fri, Dec 5, 2014	7:00 pm/est	ESPN	REG		Texas (6)	Big 12	W	63	51		8	0	W 8		texas	kentucky	2015
9	Sun, Dec 7, 2014	6:00 pm/est	SEC Network	REG		Eastern Kentucky	OVC	W	82	49		9	0	W 9		eastern-kentucky	kentucky	2015
10	Wed, Dec 10, 2014	7:00 pm/est	ESPN 2	REG		Columbia	Ivy	W	56	46		10	0	W 10		columbia	kentucky	2015
11	Sat, Dec 13, 2014	12:00 pm/est	CBS	REG		North Carolina (21)	ACC	W	84	70		11	0	W 11		north-carolina	kentucky	2015
12	Sat, Dec 20, 2014	3:30 pm/est	CBS	REG	N	UCLA	Pac-12	W	83	44		12	0	W 12		ucla	kentucky	2015
13	Sat, Dec 27, 2014	2:00 pm/est	ESPN 2	REG	@	Louisville (4)	ACC	W	58	50		13	0	W 13		louisville	kentucky	2015
14	Tue, Jan 6, 2015	7:00 pm/est	SEC Network	REG		Mississippi	SEC	W	89	86	OT	14	0	W 14		mississippi	kentucky	2015
15	Sat, Jan 10, 2015	1:00 pm/est	CBS	REG	@	Texas A&M	SEC	W	70	64	2OT	15	0	W 15		texas-am	kentucky	2015
16	Tue, Jan 13, 2015	9:00 pm/est	ESPN	REG		Missouri	SEC	W	86	37		16	0	W 16		missouri	kentucky	2015
17	Sat, Jan 17, 2015	4:00 pm/est	ESPN	REG	@	Alabama	SEC	W	70	48		17	0	W 17		alabama	kentucky	2015
18	Tue, Jan 20, 2015	9:00 pm/est	SEC Network	REG		Vanderbilt	SEC	W	65	57		18	0	W 18		vanderbilt	kentucky	2015
19	Sat, Jan 24, 2015	12:00 pm/est	ESPN	REG	@	South Carolina	SEC	W	58	43		19	0	W 19		south-carolina	kentucky	2015
20	Thu, Jan 29, 2015	9:00 pm/est	ESPN	REG	@	Missouri	SEC	W	69	53		20	0	W 20		missouri	kentucky	2015
21	Sat, Jan 31, 2015	7:00 pm/est	SEC Network	REG		Alabama	SEC	W	70	55		21	0	W 21		alabama	kentucky	2015
22	Tue, Feb 3, 2015	7:00 pm/est	ESPN U	REG		Georgia	SEC	W	69	58		22	0	W 22		georgia	kentucky	2015
23	Sat, Feb 7, 2015	9:00 pm/est	ESPN	REG	@	Florida	SEC	W	68	61		23	0	W 23		florida	kentucky	2015
24	Tue, Feb 10, 2015	7:00 pm/est	ESPN	REG	@	Louisiana State	SEC	W	71	69		24	0	W 24		louisiana-state	kentucky	2015
25	Sat, Feb 14, 2015	2:00 pm/est	ESPN	REG		South Carolina	SEC	W	77	43		25	0	W 25		south-carolina	kentucky	2015
26	Tue, Feb 17, 2015	7:00 pm/est	ESPN	REG	@	Tennessee	SEC	W	66	48		26	0	W 26		tennessee	kentucky	2015
27	Sat, Feb 21, 2015	7:00 pm/est	ESPN	REG		Auburn	SEC	W	110	75		27	0	W 27		auburn	kentucky	2015
28	Wed, Feb 25, 2015	7:00 pm/est	SEC Network	REG	@	Mississippi State	SEC	W	74	56		28	0	W 28		mississippi-state	kentucky	2015
29	Sat, Feb 28, 2015	4:00 pm/est	CBS	REG		Arkansas (18)	SEC	W	84	67		29	0	W 29		arkansas	kentucky	2015
30	Tue, Mar 3, 2015	9:00 pm/est	ESPN	REG	@	Georgia	SEC	W	72	64		30	0	W 30		georgia	kentucky	2015
31	Sat, Mar 7, 2015	2:00 pm/est	CBS	REG		Florida	SEC	W	67	50		31	0	W 31		florida	kentucky	2015
32	Fri, Mar 13, 2015	1:00 pm/est	SEC Network	CTOURN	N	Florida	SEC	W	64	49		32	0	W 32		florida	kentucky	2015
33	Sat, Mar 14, 2015	1:00 pm/est	ESPN	CTOURN	N	Auburn	SEC	W	91	67		33	0	W 33		auburn	kentucky	2015
34	Sun, Mar 15, 2015	1:00 pm/est	ESPN	CTOURN	N	Arkansas (21)	SEC	W	78	63		34	0	W 34		arkansas	kentucky	2015
35	Thu, Mar 19, 2015	10:18 pm/est	CBS	NCAA	N	Hampton	MEAC	W	79	56		35	0	W 35		hampton	kentucky	2015
36	Sat, Mar 21, 2015	2:53 pm/est	CBS	NCAA	N	Cincinnati	AAC	W	64	51		36	0	W 36		cincinnati	kentucky	2015
37	Thu, Mar 26, 2015	9:49 pm/est	CBS	NCAA	N	West Virginia (20)	Big 12	W	78	39		37	0	W 37		west-virginia	kentucky	2015
38	Sat, Mar 28, 2015	8:49 pm/est	TBS	NCAA	N	Notre Dame (8)	ACC	W	68	66		38	0	W 38		notre-dame	kentucky	2015
39	Sat, Apr 4, 2015	9:06 pm/est	TBS	NCAA	N	Wisconsin (3)	Big Ten	L	64	71		38	1	L 1		wisconsin	kentucky	2015
1	Sat, Nov 15, 2014	3:00 pm/est		REG		Colgate	Patriot	W	57	52		1	0	W 1		colgate	la-salle	2015
2	Tue, Nov 18, 2014	8:00 pm/est		REG	@	Quinnipiac	MAAC	W	60	58		2	0	W 2		quinnipiac	la-salle	2015
3	Sat, Nov 22, 2014	12:30 pm/est		REG		Saint Peter's	MAAC	W	59	50		3	0	W 3		saint-peters	la-salle	2015
4	Tue, Nov 25, 2014	7:00 pm/est		REG		St. Francis (NY)	NEC	W	73	60		4	0	W 4		st-francis-ny	la-salle	2015
5	Fri, Nov 28, 2014	9:30 pm/est	NBCSN	REG	N	Virginia (8)	ACC	L	56	64		4	1	L 1		virginia	la-salle	2015
6	Sat, Nov 29, 2014	7:00 pm/est	NBCSN	REG	N	Vanderbilt	SEC	L	55	68		4	2	L 2		vanderbilt	la-salle	2015
7	Wed, Dec 3, 2014	8:30 pm/est	CBSSN	REG		Villanova (10)	Big East	L	70	84		4	3	L 3		villanova	la-salle	2015
8	Sat, Dec 6, 2014	12:00 pm/est	ESPNews	REG	N	Temple	AAC	L	57	58		4	4	L 4		temple	la-salle	2015
9	Sat, Dec 13, 2014	1:00 pm/est		REG	@	Drexel	CAA	W	65	55		5	4	W 1		drexel	la-salle	2015
10	Tue, Dec 16, 2014	7:00 pm/est		REG		American	Patriot	L	66	68	OT	5	5	L 1		american	la-salle	2015
11	Sat, Dec 20, 2014	7:00 pm/est		REG	@	Towson	CAA	W	67	53		6	5	W 1		towson	la-salle	2015
12	Tue, Dec 23, 2014	4:00 pm/est		REG	@	Hofstra	CAA	W	83	74		7	5	W 2		hofstra	la-salle	2015
13	Tue, Dec 30, 2014	7:00 pm/est		REG		Pennsylvania	Ivy	W	84	67		8	5	W 3		pennsylvania	la-salle	2015
14	Sat, Jan 3, 2015	7:00 pm/est		REG	@	George Mason	A-10	L	62	70		8	6	L 1		george-mason	la-salle	2015
15	Wed, Jan 7, 2015	7:00 pm/est		REG		Massachusetts	A-10	L	65	71		8	7	L 2		massachusetts	la-salle	2015
16	Sat, Jan 10, 2015	12:30 pm/est	NBCSN	REG		George Washington	A-10	W	63	50		9	7	W 1		george-washington	la-salle	2015
17	Wed, Jan 14, 2015	7:00 pm/est	WHIO	REG	@	Dayton	A-10	L	50	61		9	8	L 1		dayton	la-salle	2015
18	Sat, Jan 17, 2015	2:00 pm/est		REG		Fordham	A-10	W	60	49		10	8	W 1		fordham	la-salle	2015
19	Thu, Jan 22, 2015	7:00 pm/est	CSN-PHI, COX-RI	REG	@	Rhode Island	A-10	L	47	59		10	9	L 1		rhode-island	la-salle	2015
20	Tue, Jan 27, 2015	7:00 pm/est	TCN-PHI, SNY, CSN-MA	REG		Saint Joseph's	A-10	W	53	48		11	9	W 1		saint-josephs	la-salle	2015
21	Sat, Jan 31, 2015	7:00 pm/est	TWC Sports	REG	@	St. Bonaventure	A-10	W	66	56		12	9	W 2		st-bonaventure	la-salle	2015
22	Thu, Feb 5, 2015	6:30 pm/est	NBCSN	REG		Richmond	A-10	W	64	62		13	9	W 3		richmond	la-salle	2015
23	Sun, Feb 8, 2015	4:00 pm/est	CBSSN	REG	@	Massachusetts	A-10	L	59	66		13	10	L 1		massachusetts	la-salle	2015
24	Wed, Feb 11, 2015	7:00 pm/est	CBSSN	REG	@	Virginia Commonwealth (20)	A-10	W	74	69	2OT	14	10	W 1		virginia-commonwealth	la-salle	2015
25	Sat, Feb 14, 2015	2:00 pm/est		REG		Davidson	A-10	L	69	77		14	11	L 1		davidson	la-salle	2015
